Author,Art,Sale date,Price,Size,Style,Estimate,Signed,dated,Collection,Material,Technique,Painted,Image,Genre,Square,Nazi,Length description
Jean-Michel Basquiat,Untitled,06.25.2013,28888188,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Rembrandt Harmensz van Rijn,"Portrait of a lady, aged 62, perhaps Aeltje Pietersdr. Uylenburgh, wife of Johannes Cornelisz. Sylvius, half-length, in black costume and a cap and collar",12.13.2000,28676152,73.7 x 55.8 cm,IMPORTANT OLD MASTER PICTURES,4880000.0,1,0,1,other,other techniques,-,https://www.christies.com/img/LotImages/2000/CKS/2000_CKS_06405_0052_000().jpg,-,0.4112,1,658
,Wand,02.12.2014,28663260,240 x 240cm,-,-,0,0,0,canvas,oil only,-,-,-,0.576,0,2455
Francis Bacon,Study for a portrait,06.28.2011,28660766,-,-,2000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Henri Matisse,Bouquet de fleurs pour le quatorze juillet,05.05.2010,28642500,116 x 89 cm,,18000000.0,0,0,0,canvas,oil only,-,https://uploads5.wikiart.org/00246/images/henri-matisse/henri-matisse-bouquet-de-fleurs-pour-le-quatorze-juillet.jpg!Large.jpg,,1.0324,0,1593
Juan Gris,Violon et guitare,11.03.2010,28642500,100.3 x 65.4 cm,Impressionist and Modern Evening Sale ,18000000.0,1,0,1,canvas,oil only,1913,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02352_0023_000(juan_gris_violon_et_guitare).jpg,-,0.656,0,455
Pablo Picasso,Claude et Paloma,11.04.2013,28165000,116 x 89 cm,A Dialogue Through Art: Works from the Jan Krugier Collection Evening Sale,9000000.0,0,1,1,panel,oil and others,-,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_03442_0017_000(pablo_picasso_claude_et_paloma).jpg,-,1.0324,0,106
Roy Lichtenstein,Nude with Red Shirt,11.14.2012,28082500,198.1 x 167.7 cm,Post-War & Contemporary Art Evening Sale,12000000.0,1,0,1,canvas,oil and others,1995,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0039_000(roy_lichtenstein_nude_with_red_shirt).jpg,-,3.3221,0,116
Francis Bacon,Three Studies for Self-Portrait,05.13.2008,28041000,35.5 x 30.5 cm,,4000000.0,0,0,0,canvas,oil only,-,https://uploads2.wikiart.org/00108/images/francis-bacon/3-4.jpg!Large.jpg,,0.1083,0,2044
Andy Warhol,Lemon Marilyn,05.16.2007,28040000,50.8 x 40.6 cm,Post-War and Contemporary Art Evening Sale,-,1,0,1,canvas,other techniques,1962,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01834_0018_000().jpg,-,0.2062,0,78
Gustav Klimt,"Frauenbildnis, portrait of Ria Munk III",06.23.2010,27786368,180.7 x 89.9 cm,Impressionist/Modern  Evening Sale,17080000.0,0,0,1,canvas,oil and others,1917,https://www.christies.com/img/LotImages/2010/CKS/2010_CKS_07857_0034_000(gustav_klimt_frauenbildnis).jpg,-,1.6245,0,279
Piet Mondrian,"Composition avec bleu, rouge, jaune et noir",02.23.2009,27666556,79.6 x 49.8 cm,Collection Yves Saint Laurent et Pierre Bergé,7560000.000000001,1,0,1,toile,oil only,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0042_000().jpg,-,0.3964,0,681
Pablo Picasso,Femme au costume turc dans un fauteuil,02.04.2014,27653536,92 x 73 cm,Impressionist/Modern Evening Sale,18300000.0,1,0,0,canvas,oil only,1955,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01505_0028_000(pablo_picasso_femme_au_costume_turc_dans_un_fauteuil).jpg,-,0.6716,0,250
Vincent van Gogh,L′homme est en mer,02.05.2014,27531980,66 x 51cm,-,6000000.0,0,0,0,other,other techniques,-,-,-,0.033,0,2386
Constantin Brancusi,Oiseau dans l′espace,05.04.2005,27456000,85.5 cm,Impressionist and Modern Art (Evening Sale)                 ,8000000.0,1,0,0,other,other techniques,-,https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01514_0007_000().jpg,-,0,0,241
Claude Monet,Nymphéas,05.06.2014,27045000,100.1 x 81.2 cm,Impressionist and Modern Art Evening Sale including Property from the Estate of Edgar M. Bronfman,25000000.0,1,0,1,canvas,oil only,1907,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02844_0008_000(claude_monet_nympheas).jpg,-,0.8128,0,312
Mark Rothko,Untitled,05.15.2013,27003750,28.3 x 40.6 cm,Abstract Expressionism,200000.0,0,0,0,paper,other techniques,-,https://uploads1.wikiart.org/images/mark-rothko/not_detected_242115.jpg,abstract,0.1149,0,1331
Mark Rothko,Untitled,05.16.2007,26920000,28.3 x 40.6 cm,Abstract Expressionism,200000.0,0,0,0,paper,other techniques,-,https://uploads1.wikiart.org/images/mark-rothko/not_detected_242115.jpg,abstract,0.1149,0,1331
Edward Hopper,Hotel Window,11.29.2006,26896000,101.6 x 139.7 cm,-,10000000.0,0,0,0,canvas,oil only,-,-,-,1.4194,0,3104
Joan Miró,Painting-Poem,02.07.2012,26590650,130.2 x 96.5 cm,The Art of The Surreal Evening Sale,7320000.0,1,0,1,canvas,oil only,1925,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_08056_0117_000(joan_miro_painting-poem).jpg,-,1.2564,0,257
Christopher Wool,Apocalypse Now,11.12.2013,26485000,213.4 x 182.9 cm,Post-War and Contemporary Evening Sale,15000000.0,1,0,1,other,other techniques,1988,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0008_000(christopher_wool_apocalypse_now).jpg,-,3.9031,0,329
,A.B. Courbet,11.13.2013,26485000,300 x 250 cm,-,15000000.0,0,0,0,canvas,oil only,-,-,-,7.5,0,2328
Franz Kline,King Oliver,11.12.2014,26485000,251.4 x 196.8 cm,Post-War & Contemporary Art Evening Sale,25000000.0,1,0,0,canvas,oil only,1958,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0023_000(franz_kline_king_oliver).jpg,-,4.9476,0,248
Jean-Michel Basquiat,Untitled,11.14.2012,26402500,25.4 x 15.2 cm,-,100000.0,0,0,0,other,other techniques,-,-,-,0.0386,0,1129
Edouard Manet,Les Courses au Bois de Boulogne,05.05.2004,26328000,72.6 x 94 cm,-,20000000.0,0,0,0,canvas,oil only,-,-,-,0.6824,0,2964
Amedeo Modigliani,L′Amazone,05.07.2013,25925000,92 x 65.6 cm,-,20000000.0,0,0,0,canvas,oil only,-,-,-,0.6035,0,2568
Jean-Michel Basquiat,Untitled,11.13.2013,25925000,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Alexander Calder,Poisson volant,05.13.2014,25925000,226.0 x 101.6 cm,Post-War and Contemporary Evening Sale,9000000.0,1,0,1,metal,other techniques,1957,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0008_000(alexander_calder_poisson_volant).jpg,-,2.2962,0,74
Jeff Koons,Balloon Monkey,11.12.2014,25925000,596.9 x 320 cm,Post-War & Contemporary Art Evening Sale,20000000.0,1,0,1,other,other techniques,2006,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0042_000(jeff_koons_balloon_monkey).jpg,-,19.1008,0,74
Philip Guston,To Fellini,05.15.2013,25883750,175.2 x 187.9 cm,Post-War & Contemporary Evening Sale,8000000.0,1,0,1,canvas,oil only,1958,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0023_000(philip_guston_to_fellini).jpg,abstract,3.292,0,200
Piet Mondrian,"Composition with red, blue and grey",06.23.2014,25870094,66 x 50cm,-,13000000.0,0,0,0,canvas,oil only,-,-,-,0.033,0,2024
Alberto Giacometti,La main,05.04.2010,25842500,71 cm,Impressionist/ Modern Evening Sale,10000000.0,0,0,1,"bronze, patina",other techniques,1947,-,-,0,0,285
Jeff Koons,Balloon Flower,06.30.2008,25783062,285 x 260cm,Post-War & Contemporary Art  Evening Sale,-,0,0,1,transparent colour coating,other techniques,1995,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07602_0012_000().jpg,-,0.741,0,139
Paul Cézanne,Nature morte au melon vert,05.08.2007,25520000,31.5 x 47.5 cm,-,14000000.0,0,0,0,other,other techniques,-,-,-,0.1496,0,3068
Francis Bacon,Self-portrait,05.11.2011,25282500,-,-,350000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Willem de Kooning,Untitled V,11.13.2013,24805000,177.8 x 203.2 cm,Abstract Expressionism,25000000.0,0,0,0,canvas,oil only,-,https://uploads2.wikiart.org/images/willem-de-kooning/untitled-1949.jpg!Large.jpg,abstract,3.6129,0,1829
Pablo Picasso,Femme assise dans un fauteuil,11.10.1997,24752500,-,-,1800000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Pablo Picasso,Maternité,11.14.1988,24750000,-,-,8000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Claude Monet,Le bassin aux nymphéas,11.02.2010,24722500,-,-,4000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Zhang Daqian,Lotus and Mandarin ducks,05.31.2011,24551210,184.5 x 95 cm,-,15000000.0,0,0,0,paper,other techniques,-,-,-,1.7528,0,1989
Jean Antoine Watteau,La Surprise: A couple embracing while a figure dressed as Mezzetin tunes a guitar,07.08.2008,24417178,36.3 x 28.2 cm,Important Old Master & British Pictures  Evening Sale,3660000.0,0,0,1,panel,oil only,-,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07609_0021_000().jpg,-,0.1024,0,1352
Franz Marc,Weidende Pferde III,02.05.2008,24326828,61 x 92.5cm,-,6000000.0,0,0,0,other,other techniques,-,-,-,0.5612,0,2975
André Derain,Arbres à Collioure,06.22.2010,24156490,65 x 81cm,-,9000000.0,0,0,0,canvas,oil only,-,-,-,0.052,0,1422
Pablo Picasso,Nu au collier,06.25.2002,23944552,92 x 73cm,Impressionist and Modern Art Evening Sale                   ,7320000.0,1,0,1,canvas,oil only,1932,https://www.christies.com/img/LotImages/2002/CKS/2002_CKS_06590_0012_000().jpg,-,0.0644,0,108
Andy Warhol,Big Campbell′s soup can with can opener,11.10.2010,23882500,182.9 x 132.1 cm,Post-War and Contemporary Evening Sale,30000000.0,1,0,1,linen,other techniques,1962,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02355_0008_000(andy_warhol_big_campbells_soup_can_with_can_opener).jpg,-,2.4161,0,220
Henri Matisse,Odalisque au fauteuil noir,02.03.2015,23830560,38 x 46cm,-,9000000.0,0,0,0,canvas,oil only,-,-,-,0.0152,0,2068
Kurt Schwitters,Ja - Was? - Bild,06.24.2014,23781982,109.2 x 80 cm,Impressionist/Modern Evening Sale,4880000.0,1,0,1,"wood, paper, board",oil and others,1920,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01532_0008_000(kurt_schwitters_ja_-_was_-_bild).jpg,-,0.8736,0,447
Andy Warhol,MarlonREPEAT SALE,11.14.2012,23714500,104.2 x 117.1 cm,Post-War & Contemporary Art Evening Sale,15000000.0,1,0,1,canvas,other techniques,1966,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0014_000(andy_warhol_marlon).jpg,-,1.2202,0,279
Christopher Wool,If YouREPEAT SALE,05.13.2014,23685000,274.3 x 182.8 cm,Post-War and Contemporary Evening Sale,20000000.0,1,0,0,other,other techniques,1992,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0017_000(christopher_wool_if_you).jpg,-,5.0142,0,173
Roy Lichtenstein,Nude with Yellow Flower,05.15.2013,23643750,233 x 183 cm,Post-War & Contemporary Evening Sale,12000000.0,1,0,1,canvas,oil and others,1994,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0049_000(roy_lichtenstein_nude_with_yellow_flower).jpg,-,4.2639,0,184
Gustav Klimt,Schloss Kammer am Attersee IIREPEAT SALE,10.09.1997,23562388,110 x 110 cm,German and Austrian Art '97,-,1,0,1,canvas,oil only,1909,https://uploads0.wikiart.org/images/gustav-klimt/schloss-kammer-am-attersee-ii-1909.jpg!Large.jpg,landscape,1.21,0,253
Jeff Koons,Hanging Heart,11.14.2007,23561000,215.9 x 101.6 cm,-,15000000.0,0,0,0,other,other techniques,-,-,-,2.1935,0,1696
Yves Klein,MG 9,05.14.2008,23561000,146 x 114 cm,-,6000000.0,0,0,0,other,other techniques,-,-,-,1.6644,0,1881
Lucian Freud,Naked Portrait with ReflectionREPEAT SALE,06.30.2008,23548214,91 x 91cm,Post-War & Contemporary Art  Evening Sale,12200000.0,0,0,1,canvas,oil only,1980,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07602_0018_000().jpg,nude painting (nu),0.0819,0,168
Joan Miró,Painting,02.04.2015,23413412,18.1 x 20 cm,-,180000.0,0,0,0,metal,oil and others,-,-,-,0.0362,0,1222
Lyonel Feininger,Jesuiten III,05.08.2007,23280000,75 x 60 cm,-,7000000.0,0,0,0,canvas,oil only,-,-,-,0.45,0,1189
Zeng Fanzhi,The Last Supper,10.05.2013,23269068,220 x 395 cm,-,-,0,0,0,canvas,oil only,-,-,-,8.69,0,1408
Paul Cézanne,Madame Cézanne au fauteuil jaune,05.12.1997,23102500,80.4 x 64.4 cm,The John & Frances L. Loeb Collection,-,0,0,1,canvas,oil only,1888,-,-,0.5178,0,536
Pablo Picasso,L′Aubade,11.02.2011,23042500,130.1 x 195 cm,-,18000000.0,0,0,0,canvas,oil only,-,-,-,2.537,0,1950
Jackson Pollock,Number 28,05.08.2012,23042500,76.5 x 137.4 cm,Post-War and Contemporary Art Evening Sale,20000000.0,1,0,1,canvas,oil only,1951,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02557_0022_000(jackson_pollock_number_28_1951).jpg,-,1.0511,0,169
Wassily Kandinsky,Studie für Improvisation 8,11.07.2012,23042500,98 x 70 cm,Impressionist and Modern Art Evening Sale,20000000.0,0,0,1,canvas,oil only,1909,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02594_0047_000(wassily_kandinsky_studie_fur_improvisation_8).jpg,-,0.686,0,182
Norman Rockwell,The Rookie,05.22.2014,22565000,104.1 x 99 cm,American Art,20000000.0,1,0,0,canvas,oil only,1957,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02851_0030_000(norman_rockwell_the_rookie).jpg,-,1.0306,0,195
Andy Warhol,Three Self-portraits,02.27.2008,22550242,101.6 x 101.6cm,-,-,0,0,0,canvas,other techniques,-,-,-,1.0262,0,1050
Mark Rothko,Untitled,11.09.2010,22482500,28.3 x 40.6 cm,-,200000.0,0,0,0,paper,other techniques,-,-,-,0.1149,0,1331
Barnett Newman,Onement V,05.08.2012,22482500,152.4 x 96.5 cm,Post-War and Contemporary Art Evening Sale,10000000.0,1,0,1,canvas,oil only,1952,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02557_0024_000(barnett_newman_onement_v).jpg,abstract,1.4707,0,185
Mark Rothko,Untitled,05.16.2007,22440000,28.3 x 40.6 cm,Abstract Expressionism,200000.0,0,0,0,paper,other techniques,-,https://uploads1.wikiart.org/images/mark-rothko/not_detected_242115.jpg,abstract,0.1149,0,1331
Henri de Toulouse-Lautrec,La blanchisseuse,11.01.2005,22416000,93 x 75 cm,Impressionist and Modern Art  Evening Sale                  ,20000000.0,0,0,1,canvas,oil only,1886,https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01570_0017_000().jpg,-,0.6975,0,196
Mark Rothko,Homage to Matisse,11.08.2005,22416000,268.3 x 129.5 cm,POST-WAR AND CONTEMPORARY ART EVENING SALE,-,1,0,1,canvas,oil only,1954,https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01573_0034_000().jpg,-,3.4745,0,197
Egon Schiele,Einzelne Häuser,11.08.2006,22416000,109.8 x 139.7 cm,Impressionist and Modern Art Evening Sale,20000000.0,1,0,1,canvas,oil only,1915,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01722_0060_000().jpg,-,1.5339,0,284
Fernand Léger,La femme en rouge et vert,11.04.2003,22407500,100.8 x 80.4 cm,Impressionist and Modern Art (Evening Sale)                 ,10000000.0,1,0,1,canvas,oil only,1914,https://www.christies.com/img/LotImages/2003/NYR/2003_NYR_01299_0032_000().jpg,-,0.8104,0,619
Edward Burne-Jones,Love among the Ruins,07.11.2013,22115900,96.5 x 152.4 cm,Important Victorian & British Impressionist Art,3660000.0,1,0,1,board,other techniques,-,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01128_0003_000(sir_edward_coley_burne-jones_bt_ara_rws_love_among_the_ruins).jpg,genre painting,1.4707,0,318
,"Abstraktes Bild, Dunkel",05.15.2013,21963750,260 x 200 cm,Post-War & Contemporary Evening Sale,14000000.0,1,0,1,canvas,oil only,1986,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0053_000(gerhard_richter_abstraktes_bild_dunkel).jpg,-,5.2,0,80
,Abstraktes Bild,05.08.2012,21810500,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Pablo Picasso,Jeune fille endormie,06.21.2011,21799182,46.3 x 55 cm,Impressionist/Modern Evening Sale,10980000.0,1,0,1,canvas,oil only,1935,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07974_0047_000(pablo_picasso_jeune_fille_endormie).jpg,-,0.2546,0,292
Egon Schiele,Herbstsonne,06.20.2006,21708430,100 x 120.5 cm,German and Austrian Art  ,4880000.0,1,0,1,canvas,oil only,1914,https://www.christies.com/img/LotImages/2006/CKS/2006_CKS_07345_0007_000().jpg,-,1.205,1,344
,Portrait de Paul éluard,02.10.2011,21685938,20 x 16 cm,-,30000.0,0,0,0,toile,oil only,-,-,-,0.032,0,338
Cy Twombly,Poems to the sea,11.13.2013,21669000,30.3 x 31 cm,-,6000000.0,0,0,0,paper,oil only,-,-,-,0.0939,0,2839
Francis Bacon,Three Studies for a Self-Portrait,02.12.2013,21661584,35.5 x 30cm,,10000000.0,0,0,0,canvas,oil only,-,https://uploads2.wikiart.org/00108/images/francis-bacon/3-4.jpg!Large.jpg,,0.0106,0,1518
,Abstraktes Bild,11.11.2014,21445000,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Yves Klein,Archisponge,11.11.2008,21362500,200 x 165 cm,-,-,0,0,0,panel,other techniques,-,-,-,3.3,0,1750
Pablo Picasso,Femmes lisant,05.03.2011,21362500,92 x 73 cm,-,25000000.0,0,0,0,canvas,oil only,-,-,-,0.6716,0,1508
Pablo Picasso,"Les femmes d′Alger, version L",05.04.2011,21362500,130 x 97 cm,Impressionist and Modern Art Evening Sale,20000000.0,1,0,1,canvas,oil only,1955,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02437_0032_000(pablo_picasso_les_femmes_dalger_version_l).jpg,-,1.261,0,228
Charles Willson Peale,George Washington at Princeton,01.21.2006,21296000,243.8 x 156.2 cm,Property From the Collection of Mrs. J. Insley Blair,10000000.0,1,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01618_0547_000().jpg,-,3.8082,0,492
Clyfford Still,1947-R-No. 1 ,11.15.2006,21296000,175.3 x 165.1 cm,Post War and Contemporary Art Evening Sale,5000000.0,0,1,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01725_0044_000().jpg,-,2.8942,0,114
Willem de Kooning,Untitled XXXI,05.13.2014,21165000,203.2 x 177.8 cm,-,7500000.0,0,0,0,canvas,oil only,-,-,-,3.6129,0,1173
Mark Rothko,No. 7,11.13.2007,21041000,137.2 x 69.8 cm,-,1500000.0,0,0,0,other,other techniques,-,-,-,0.9577,0,363
Pierre-Auguste Renoir,Baigneuse,11.13.1997,20902500,37.5 x 30.5 cm,-,700000.0,0,0,0,canvas,oil only,-,-,-,0.1144,0,1803
Lucio Fontana,"Concetto spaziale, La fine di Dio",11.12.2013,20885000,-,-,650000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Alberto Giacometti,Le Chat,05.04.2010,20802500,80 cm,-,16000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2350
Henri Matisse,"Danseuse dans le fauteuil, sol en damier",11.02.2010,20802500,46 x 55 cm,-,12000000.0,0,0,0,canvas,oil only,-,-,-,0.253,0,1492
,Abstraktes Bild,11.09.2011,20802500,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Barnett Newman,By twos,11.13.2013,20605000,168.3 x 40.6 cm,Color Field Painting,18000000.0,0,0,0,canvas,oil only,-,https://uploads7.wikiart.org/images/barnett-newman/by-twos-1949.jpg!Large.jpg,abstract,0.6833,0,2653
Paul Cézanne,Vue sur L′Estaque et le Château d′If,02.04.2015,20375704,73 x 59.7 cm,Impressionist/Modern Evening Sale,9760000.0,0,0,1,canvas,oil only,1883,https://www.christies.com/img/LotImages/2015/CKS/2015_CKS_10378_0008_000(paul_cezanne_vue_sur_lestaque_et_le_chateau_dif).jpg,-,0.4358,0,832
Lucio Fontana,"Concetto Spaziale, La Fine di Dio",02.27.2008,20343394,-,-,650000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Andy Warhol,Liz #1,11.13.2013,20325000,59 x 58.8 cm,-,25000.0,0,0,0,other,other techniques,-,-,-,0.3469,0,0
Claude Monet,Sous les peupliers,11.04.2014,20325000,73 x 92 cm,-,12000000.0,0,0,0,canvas,oil only,-,-,-,0.6716,0,2212
Andy Warhol,Sixteen Jackies,05.10.2011,20242500,50.8 x 40.6 cm,Pop Art,20000000.0,0,0,0,other,other techniques,-,https://uploads7.wikiart.org/images/andy-warhol/sixteen-jackies.jpg!Large.jpg,portrait,0.2062,0,2417
Piero Manzoni,Achrome,10.17.2014,20218814,150 x 100 cm,Minimalism,2000000.0,0,0,0,other,other techniques,-,https://uploads6.wikiart.org/images/piero-manzoni/achrome-1958.jpg!Large.jpg,abstract,1.5,0,2521
Franz Marc,Der Wasserfall,11.07.2007,20201000,165.5 x 158.5 cm,-,20000000.0,0,0,0,canvas,oil only,-,-,-,2.6232,0,2964
Jean-Michel Basquiat,Untitled,06.27.2012,20162318,25.4 x 15.2 cm,-,100000.0,0,0,0,other,other techniques,-,-,-,0.0386,0,1129
Pablo Picasso,Le miroir,11.07.1995,20022500,25 x 17 cm,-,-,0,0,0,other,other techniques,-,-,-,0.0425,0,0
Cy Twombly,Untitled,02.12.2014,20012930,67.5 x 86.4 cm,Abstract Expressionism,400000.0,0,0,0,other,other techniques,-,https://uploads8.wikiart.org/images/cy-twombly/untitled.jpg!Large.jpg,abstract,0.5832,0,1425
Pierre-Auguste Renoir,Jeune fille au chat,05.17.1990,19965000,33 x 28cm,-,150000.0,0,0,0,canvas,oil only,-,-,-,0.0066,0,263
Willem de Kooning,Untitled XXIII,11.13.2007,19921000,177.8 x 203.2 cm,Post War and Contemporary Art Evening Sale,16000000.0,1,0,0,canvas,oil only,1977,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01903_0043_000().jpg,-,3.6129,0,146
Francis Bacon,Self-portrait,11.09.2011,19682500,-,-,350000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Willem de Kooning,Abstraction,11.13.2012,19682500,61.9 x 82.6 cm,Abstract Expressionism,15000000.0,0,0,0,board,oil and others,-,https://uploads5.wikiart.org/images/willem-de-kooning/abstraction-1950.jpg!Large.jpg,abstract,0.5113,0,1299
Francis Bacon,Study for Head of Lucian Freud,07.01.2014,19622034,,,3000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/francis-bacon/study-for-head-of-lucian-freud(1).jpg!Large.jpg,,0,0,0
Alberto Giacometti,L′homme qui chavire,11.04.2009,19346500,59.3 cm,-,8000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2313
,Seestück,05.08.2012,19346500,90 x 70 cm,-,2000.0,0,0,0,other,other techniques,-,-,-,0.63,0,107
Damien Hirst,Lullaby Spring,06.21.2007,19213272,274.3 x 10.2cm,-,3000000.0,0,0,0,other,other techniques,-,-,-,0.2743,1,956
Henri Matisse,La séance du matin,05.07.2014,19205000,74 x 61 cm,-,20000000.0,0,0,0,canvas,oil only,-,-,-,0.4514,0,2483
Pablo Picasso,La Grue,05.07.2008,19193000,72.4 cm,-,10000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,3122
Willem de Kooning,Woman,05.15.2013,19163750,46.7 x 41.9 cm,-,120000.0,0,0,0,paper,other techniques,-,-,-,0.1957,0,524
Edward Hopper,Blackwell′s Island,05.23.2013,19163750,87.6 x 151.3 cm,American Art,15000000.0,1,0,0,canvas,oil only,1928,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02707_0016_000(edward_hopper_blackwells_island).jpg,cityscape,1.3254,0,345
Amedeo Modigliani,Jeanne hébuterne,11.02.2010,19122500,67 x 51.5 cm,Expressionism,9000000.0,0,0,0,panel,oil only,-,https://uploads1.wikiart.org/images/amedeo-modigliani/jeanne-hebuterne-1918.jpg!Large.jpg,portrait,0.3451,0,2335
Henri Matisse,Les PivoinesREPEAT SALE,05.01.2012,19122500,65 x 54.6 cm,Impressionist and Modern Art Evening Sale,8000000.0,1,0,1,canvas,oil only,1907,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02554_0013_000(henri_matisse_les_pivoines).jpg,-,0.3549,0,428
Edgar Degas,Petite danseuse de quatorze ans,02.03.2009,18953890,105cm,-,9000000.0,0,0,0,"bronze, wood",other techniques,-,-,-,0,0,2206
Paul Cézanne,Pichet et fruits sur une table,02.03.2010,18825354,-,-,14000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Pablo Picasso,Mere et enfant,11.15.1989,18700000,-,-,5000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Pablo Picasso,Les Femmes d′Alger,05.03.2005,18608000,-,-,500000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Alexej Jawlensky,Schokko,02.05.2008,18586402,75 x 65.1cm,-,6500000.0,0,0,0,"canvas, board",oil only,-,-,-,0.4875,0,2669
Alberto Giacometti,Trois hommes qui marchent I,06.25.2008,18585730,72cm,-,4000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2493
Damien Hirst,The Golden Calf,09.15.2008,18566620,320 x 137.2cm,-,8000000.0,0,0,0,other,other techniques,-,-,-,4.384,0,0
Mark Rothko,White cloud,11.08.2011,18562500,168.9 x 159.7 cm,Post-War Contemporary Evening Sale,18000000.0,1,0,1,canvas,oil only,1956,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02480_0071_000(mark_rothko_white_cloud).jpg,-,2.6973,0,149
Juan Gris,Le pot de geraniumREPEAT SALE,05.09.2007,18520000,81.3 x 60.5 cm,Impressionist and Modern Art Evening Sale,14000000.0,1,0,1,canvas,oil only,1915,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01831_0059_000().jpg,-,0.4919,0,433
Piet Mondrian,Composition avec grille 2,02.23.2009,18472162,79.6 x 49.8 cm,Collection Yves Saint Laurent et Pierre Bergé,7560000.000000001,1,0,1,toile,oil only,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0042_000().jpg,-,0.3964,0,681
Amedeo Modigliani,Portrait de Paul Alexandre,06.04.2014,18429952,92 x 60 cm,-,5000000.0,0,0,0,canvas,oil only,-,-,-,0.552,0,2193
Andy Warhol,Silver Liz,05.11.2010,18338500,101.6 x 203.2 cm,Post-War and Contemporary Art Evening Sale,10000000.0,1,0,1,linen,other techniques,1963,-,-,2.0645,0,160
